,n,Epochs_1,lr1,Epochs_2,lr2,emb_size,weight_decay,train_loss,val_loss,val_acc,pos_results,id_400,model
0,1.2,8.0,0.12,0.0,0.012,45.0,0.0,0.04364120215,0.04676418751,0.9983664902,0.413625,1384.0,
1,1.2,8.0,0.12,0.0,0.012,45.0,1e-06,0.2550398707,0.2602669001,0.9685265021,0.420315,1427.0,
2,1.2,8.0,0.12,0.0,0.012,45.0,1e-05,0.4431317151,0.4426516891,0.9175169928,0.452113,1445.0,
3,1.2,8.0,0.12,0.0,0.012,50.0,0.0,0.04596972838,0.04960070178,0.9983622421,0.417342,1396.0,
4,1.2,8.0,0.12,0.0,0.012,50.0,1e-06,0.2556026578,0.2622472942,0.9676329462,0.420946,1434.0,
5,1.2,8.0,0.12,0.0,0.012,50.0,1e-05,0.442637831,0.4426275492,0.9174144043,0.451568,1445.0,
6,1.2,8.0,0.12,0.0,0.012,55.0,0.0,0.05148249865,0.05001549423,0.9983089813,0.415687,1394.0,
7,1.2,8.0,0.12,0.0,0.012,55.0,1e-06,0.2588221431,0.2632671893,0.9672094676,0.421859,1438.0,
8,1.2,8.0,0.12,0.0,0.012,55.0,1e-05,0.4431663454,0.4425518215,0.9179449822,0.452169,1445.0,
9,1.2,8.0,0.12,0.0,0.012,60.0,0.0,0.05046901852,0.05263260379,0.9982627155,0.419185,1386.0,
10,1.2,8.0,0.12,0.0,0.012,60.0,1e-06,0.2616058588,0.263230294,0.9675797387,0.421661,1434.0,
11,1.2,8.0,0.12,0.0,0.012,60.0,1e-05,0.442409724,0.4433688521,0.9172866091,0.451795,1445.0,
12,1.2,8.0,0.12,0.0,0.012,65.0,0.0,0.05414129421,0.05342274159,0.9982366226,0.417074,1398.0,
13,1.2,8.0,0.12,0.0,0.012,65.0,1e-06,0.2600279748,0.2660224438,0.9661260671,0.422322,1431.0,
14,1.2,8.0,0.12,0.0,0.012,65.0,1e-05,0.440620631,0.4437403083,0.9167475567,0.451383,1445.0,
15,1.2,8.0,0.12,0.0,0.011,45.0,0.0,0.04848018661,0.0464355126,0.9983481046,0.417969,1378.0,
16,1.2,8.0,0.12,0.0,0.011,45.0,1e-06,0.2563829124,0.2605799437,0.9683122028,0.42042,1430.0,
17,1.2,8.0,0.12,0.0,0.011,45.0,1e-05,0.4426306784,0.4422622025,0.9170496276,0.451775,1445.0,
18,1.2,8.0,0.12,0.0,0.011,50.0,0.0,0.04449198022,0.04782743752,0.9983447443,0.416995,1393.0,
19,1.2,8.0,0.12,0.0,0.011,50.0,1e-06,0.2570361495,0.2605032623,0.9684278421,0.420734,1433.0,
20,1.2,8.0,0.12,0.0,0.011,50.0,1e-05,0.442058146,0.4436601698,0.9166584581,0.452108,1445.0,
21,1.2,8.0,0.12,0.0,0.011,55.0,0.0,0.04806157202,0.05131716281,0.9982831417,0.41448,1379.0,
22,1.2,8.0,0.12,0.0,0.011,55.0,1e-06,0.2580263019,0.2619313896,0.9679142007,0.42196,1437.0,
23,1.2,8.0,0.12,0.0,0.011,55.0,1e-05,0.444642812,0.4417234957,0.9179908381,0.45207,1445.0,
24,1.2,8.0,0.12,1.0,0.012,45.0,1e-06,0.2078212649,0.2084633112,0.9882923225,0.4245613439,1443.0,
25,1.2,8.0,0.12,1.0,0.012,55.0,1e-06,0.2093444914,0.2110564709,0.9876526732,0.4259460994,1443.0,
26,1.2,8.0,0.12,1.0,0.012,65.0,1e-06,0.2108909637,0.2128676474,0.987237485,0.4267243484,1444.0,
27,1.2,8.0,0.12,1.0,0.01,45.0,1e-06,0.2018496394,0.202949509,0.9894356656,0.4247397643,1438.0,
28,1.2,8.0,0.12,1.0,0.01,55.0,1e-06,0.2028076053,0.2044247985,0.9891801285,0.4250653457,1443.0,
29,1.2,8.0,0.12,1.0,0.01,65.0,1e-06,0.2030890435,0.2057807744,0.9887030145,0.4259593734,1442.0,
30,1.2,8.0,0.12,1.0,0.008,45.0,1e-06,0.1966495216,0.1972562373,0.9905023537,0.4237147584,1438.0,
31,1.2,8.0,0.12,1.0,0.008,55.0,1e-06,0.196913898,0.198814407,0.9899938684,0.4247969162,1436.0,
32,1.2,8.0,0.12,1.0,0.008,65.0,1e-06,0.1972328722,0.2001066953,0.9899516342,0.4256460008,1440.0,
33,1.2,8.0,0.12,2.0,0.012,45.0,1e-06,0.1921928227,0.1950502098,0.9919408864,0.4250332259,1442.0,
34,1.2,8.0,0.12,2.0,0.012,55.0,1e-06,0.1955712736,0.1960720718,0.9918811891,0.4255776233,1444.0,
35,1.2,8.0,0.12,2.0,0.012,65.0,1e-06,0.1964672506,0.1977459788,0.9915453275,0.4262738112,1444.0,
36,1.2,8.0,0.12,2.0,0.01,45.0,1e-06,0.1896410733,0.1919426918,0.9926280224,0.4238167305,1441.0,
37,1.2,8.0,0.12,2.0,0.01,55.0,1e-06,0.1926262081,0.1921698749,0.9925599099,0.4255803683,1444.0,
38,1.2,8.0,0.12,2.0,0.01,65.0,1e-06,0.1927493066,0.1936074793,0.9924366927,0.4262809808,1442.0,
39,1.2,8.0,0.12,2.0,0.008,45.0,1e-06,0.1870957762,0.1879119128,0.9931330264,0.4242722659,1441.0,
40,1.2,8.0,0.12,2.0,0.008,55.0,1e-06,0.1879665554,0.1880088598,0.9932225853,0.4246854802,1443.0,
41,1.2,8.0,0.12,2.0,0.008,65.0,1e-06,0.1890210211,0.189524591,0.9930428096,0.4254418517,1442.0,
42,1.2,8.0,0.12,3.0,0.012,45.0,1e-06,0.1750388443,0.2123480141,0.9876897352,0.4236878417,1444.0,
43,1.2,8.0,0.12,3.0,0.012,55.0,1e-06,0.1749107093,0.2140302062,0.9871546971,0.4246252966,1445.0,
44,1.2,8.0,0.12,1.0,0.012,45.0,1e-06,0.20852312445640564,0.20886139571666718,0.9881082556360457,0.425048138691873,1443.0,44.0
45,1.2,8.0,0.12,1.0,0.012,55.0,1e-06,0.21026992797851562,0.21042698621749878,0.9878223742904061,0.4257356821191185,1439.0,45.0
46,1.2,8.0,0.12,1.0,0.012,65.0,1e-06,0.21085935831069946,0.21279440820217133,0.9871739001414503,0.4268484028606264,1443.0,46.0
47,1.2,8.0,0.12,1.0,0.01,45.0,1e-06,0.20092923939228058,0.20244397222995758,0.9895661511745832,0.42378981377086145,1443.0,47.0
48,1.2,8.0,0.12,1.0,0.01,55.0,1e-06,0.2029748111963272,0.20437753200531006,0.9890004947886328,0.4246416842560667,1442.0,48.0
49,1.2,8.0,0.12,1.0,0.01,65.0,1e-06,0.20391269028186798,0.20648787915706635,0.9886994182226542,0.4259272945973229,1442.0,49.0
50,1.2,8.0,0.12,1.0,0.008,45.0,1e-06,0.1958160400390625,0.1960103064775467,0.9907975105166826,0.4223544613710555,1440.0,50.0
51,1.2,8.0,0.12,1.0,0.008,55.0,1e-06,0.19643422961235046,0.1981416493654251,0.9902742429158831,0.42466421726077325,1443.0,51.0
52,1.2,8.0,0.12,1.0,0.008,65.0,1e-06,0.19869840145111084,0.1993171125650406,0.9899521377684845,0.4257110596903392,1441.0,52.0
53,1.2,8.0,0.12,2.0,0.012,45.0,1e-06,0.19487129151821136,0.19436055421829224,0.9922344606762648,0.4242799680768777,1443.0,53.0
54,1.2,8.0,0.12,2.0,0.012,55.0,1e-06,0.1936604231595993,0.19545172154903412,0.991926973071963,0.42560949729276193,1445.0,54.0
55,1.2,8.0,0.12,2.0,0.012,65.0,1e-06,0.1968882530927658,0.19727542996406555,0.991670481212336,0.4264545669074557,1444.0,55.0
56,1.2,8.0,0.12,2.0,0.01,45.0,1e-06,0.19040550291538239,0.19208501279354095,0.992633098819077,0.42459563498826647,1444.0,56.0
57,1.2,8.0,0.12,2.0,0.01,55.0,1e-06,0.19200743734836578,0.19315798580646515,0.9923212214074995,0.42543013457529794,1443.0,57.0
58,1.2,8.0,0.12,2.0,0.01,65.0,1e-06,0.19360727071762085,0.19337813556194305,0.9923739623930566,0.4257420323295358,1439.0,58.0
59,1.2,8.0,0.12,2.0,0.008,45.0,1e-06,0.18763527274131775,0.18830929696559906,0.9931193979075086,0.4242609993838247,1444.0,59.0
60,1.2,8.0,0.12,2.0,0.008,55.0,1e-06,0.1884276419878006,0.18852125108242035,0.9931458536433123,0.4247442708811306,1443.0,60.0
61,1.2,8.0,0.12,2.0,0.008,65.0,1e-06,0.18797482550144196,0.18942229449748993,0.9929508947463002,0.42512622579545606,1444.0,61.0
62,1.2,8.0,0.12,3.0,0.012,45.0,1e-06,0.17559555172920227,0.2120901346206665,0.9877765475299501,0.42308436684714923,1444.0,62.0
63,1.2,8.0,0.12,3.0,0.012,55.0,1e-06,0.17446686327457428,0.21402660012245178,0.9871418784326612,0.4239199316307668,1445.0,63.0
64,1.2,8.0,0.12,3.0,0.012,65.0,1e-06,0.17455002665519714,0.21702013909816742,0.9864286121003858,0.42444544226962255,1445.0,64.0
65,1.2,8.0,0.12,3.0,0.01,45.0,1e-06,0.17543381452560425,0.20788069069385529,0.9891219691864006,0.42307756597663776,1444.0,65.0
66,1.2,8.0,0.12,3.0,0.01,55.0,1e-06,0.17367473244667053,0.20869144797325134,0.9888888389556874,0.42414288547006307,1445.0,66.0
67,1.2,8.0,0.12,3.0,0.01,65.0,1e-06,0.17622502148151398,0.21120405197143555,0.9882978314757428,0.4252721577277554,1445.0,67.0
68,1.2,8.0,0.12,3.0,0.008,45.0,1e-06,0.17640754580497742,0.2018916755914688,0.9906036909213086,0.42389510435649014,1445.0,68.0
69,1.2,8.0,0.12,3.0,0.008,55.0,1e-06,0.1761416345834732,0.20339660346508026,0.9902817522567976,0.42509267210299306,1442.0,69.0
70,1.2,8.0,0.12,3.0,0.008,65.0,1e-06,0.1754346638917923,0.20464694499969482,0.9900667215463381,0.42473652772133147,1445.0,70.0
71,1.2,8.0,0.1,1.0,0.012,45.0,1e-06,0.20870482921600342,0.20867551863193512,0.9885875042855327,0.4191893935917773,1435.0,71.0
72,1.2,8.0,0.1,1.0,0.012,55.0,1e-06,0.2104317992925644,0.21096283197402954,0.9882032324755582,0.42028925003605283,1438.0,72.0
73,1.2,8.0,0.1,1.0,0.012,65.0,1e-06,0.21147651970386505,0.21305730938911438,0.9876221748388281,0.42055382848040695,1443.0,73.0
74,1.2,8.0,0.1,1.0,0.01,45.0,1e-06,0.20118573307991028,0.20298148691654205,0.9899194469537077,0.41887536544436726,1435.0,74.0
75,1.2,8.0,0.1,1.0,0.01,55.0,1e-06,0.20312266051769257,0.20399221777915955,0.9898232368711116,0.41934397000406415,1440.0,75.0
76,1.2,8.0,0.1,1.0,0.01,65.0,1e-06,0.20549839735031128,0.20686495304107666,0.9890794655950691,0.42048778629206707,1435.0,76.0
77,1.2,8.0,0.1,1.0,0.008,45.0,1e-06,0.19530066847801208,0.19670090079307556,0.9911126142184158,0.41843916744234827,1442.0,77.0
78,1.2,8.0,0.1,1.0,0.008,55.0,1e-06,0.19612298905849457,0.1977633237838745,0.9909041695937,0.4190229361406453,1434.0,78.0
79,1.2,8.0,0.1,1.0,0.008,65.0,1e-06,0.2001999318599701,0.19951902329921722,0.9905309935857741,0.41892268475425093,1432.0,79.0
80,1.2,8.0,0.1,2.0,0.012,45.0,1e-06,0.19477367401123047,0.1940220296382904,0.9923861151807547,0.4196191184760806,1442.0,80.0
81,1.2,8.0,0.1,2.0,0.012,55.0,1e-06,0.19440805912017822,0.19509181380271912,0.9921986464299914,0.4198178186084927,1442.0,81.0
82,1.2,8.0,0.1,2.0,0.012,65.0,1e-06,0.1940188705921173,0.1963418871164322,0.9919304784938173,0.4206043843491485,1442.0,82.0
83,1.2,8.0,0.1,2.0,0.01,45.0,1e-06,0.18849149346351624,0.1902240663766861,0.9931651860512203,0.4183747230488876,1439.0,83.0
84,1.2,8.0,0.1,2.0,0.01,55.0,1e-06,0.19103802740573883,0.191154345870018,0.9930037032985628,0.4197730803518754,1439.0,84.0
85,1.2,8.0,0.1,2.0,0.01,65.0,1e-06,0.19077971577644348,0.1922750174999237,0.992862776732653,0.42062323013490305,1440.0,85.0
86,1.2,8.0,0.1,2.0,0.008,45.0,1e-06,0.18574345111846924,0.18710440397262573,0.9935869946187039,0.4182933993864468,1440.0,86.0
87,1.2,8.0,0.1,2.0,0.008,55.0,1e-06,0.18712061643600464,0.18808399140834808,0.9936263404957282,0.41941324875126185,1441.0,87.0
88,1.2,8.0,0.1,2.0,0.008,65.0,1e-06,0.18766039609909058,0.18845602869987488,0.9934803224236222,0.4199598175072433,1442.0,88.0
89,1.2,8.0,0.1,3.0,0.012,45.0,1e-06,0.17305898666381836,0.2113732248544693,0.9879727326972962,0.4176710787655519,1441.0,89.0
90,1.2,8.0,0.1,3.0,0.012,55.0,1e-06,0.1737292855978012,0.212928906083107,0.9875279783456256,0.4188002690850453,1441.0,90.0
91,1.2,8.0,0.1,3.0,0.012,65.0,1e-06,0.17386078834533691,0.21477745473384857,0.9870691726447974,0.41882382631723847,1439.0,91.0
92,1.2,8.0,0.1,3.0,0.01,45.0,1e-06,0.17505288124084473,0.2065092772245407,0.9894306870771892,0.41870870314773784,1438.0,92.0
93,1.2,8.0,0.1,3.0,0.01,55.0,1e-06,0.17402283847332,0.20763681828975677,0.9891600336632462,0.41865929441378136,1441.0,93.0
94,1.2,8.0,0.1,3.0,0.01,65.0,1e-06,0.1748838722705841,0.21026569604873657,0.9884324000266054,0.4199454373533306,1440.0,94.0
95,1.2,8.0,0.1,3.0,0.008,45.0,1e-06,0.1736154556274414,0.20068413019180298,0.9909955714921942,0.4186732239075999,1434.0,95.0
96,1.2,8.0,0.1,3.0,0.008,55.0,1e-06,0.17415760457515717,0.20137864351272583,0.9909653680648915,0.41850926557153534,1441.0,96.0
97,1.2,8.0,0.1,3.0,0.008,65.0,1e-06,0.17450159788131714,0.20399321615695953,0.9903078106604115,0.41954926616149035,1440.0,97.0
98,1.2,8.0,0.08,1.0,0.012,45.0,1e-06,0.20706993341445923,0.2093695104122162,0.9889276350105921,0.4127699863654837,1424.0,98.0
99,1.2,8.0,0.08,1.0,0.012,55.0,1e-06,0.21063371002674103,0.21151255071163177,0.9884110204213743,0.4125151175977031,1431.0,99.0
100,1.2,8.0,0.08,1.0,0.012,65.0,1e-06,0.21062688529491425,0.21365247666835785,0.9879515948599245,0.4136132943089005,1430.0,100.0
101,1.2,8.0,0.08,1.0,0.01,45.0,1e-06,0.20159722864627838,0.20220211148262024,0.9906165777771627,0.4124414551568625,1429.0,101.0
102,1.2,8.0,0.08,1.0,0.01,55.0,1e-06,0.20176962018013,0.20480982959270477,0.9899587073671782,0.41200034086290754,1428.0,102.0
103,1.2,8.0,0.08,1.0,0.01,65.0,1e-06,0.20614664256572723,0.20649154484272003,0.9896197351722933,0.41230310250796437,1422.0,103.0
104,1.2,8.0,0.08,1.0,0.008,45.0,1e-06,0.19561044871807098,0.19534382224082947,0.9919499572566699,0.41059051221206916,1423.0,104.0
105,1.2,8.0,0.08,1.0,0.008,55.0,1e-06,0.19533564150333405,0.19823290407657623,0.9912874903299567,0.41165411100331684,1424.0,105.0
106,1.2,8.0,0.08,1.0,0.008,65.0,1e-06,0.19807946681976318,0.19970674812793732,0.9911071057318185,0.41193200440499755,1432.0,106.0
107,1.2,8.0,0.08,2.0,0.012,45.0,1e-06,0.19230742752552032,0.19291867315769196,0.992653059184855,0.413075247125608,1434.0,107.0
108,1.2,8.0,0.08,2.0,0.012,55.0,1e-06,0.1931554526090622,0.19423574209213257,0.9924457018933762,0.4134486394981449,1432.0,108.0
109,1.2,8.0,0.08,2.0,0.012,65.0,1e-06,0.19329069554805756,0.1958194226026535,0.9921723060090542,0.4133794426891461,1436.0,109.0
110,1.2,8.0,0.08,2.0,0.01,45.0,1e-06,0.18813663721084595,0.1895855963230133,0.9934608420341581,0.412985565766876,1427.0,110.0
111,1.2,8.0,0.08,2.0,0.01,55.0,1e-06,0.19070518016815186,0.1902208775281906,0.9933326553695891,0.41291468922479907,1429.0,111.0
112,1.2,8.0,0.08,2.0,0.01,65.0,1e-06,0.1906520128250122,0.19106650352478027,0.9931477724713031,0.4130449709611023,1432.0,112.0
113,1.2,8.0,0.08,2.0,0.008,45.0,1e-06,0.18533682823181152,0.1860428750514984,0.9941397399313037,0.4119767426616149,1425.0,113.0
114,1.2,8.0,0.08,2.0,0.008,55.0,1e-06,0.1854962408542633,0.18701185286045074,0.9940656052736747,0.4124757462931159,1433.0,114.0
115,1.2,8.0,0.08,2.0,0.008,65.0,1e-06,0.18739284574985504,0.1875952184200287,0.9939176373658702,0.4128005083445862,1429.0,115.0
116,1.2,8.0,0.08,3.0,0.012,45.0,1e-06,0.17233404517173767,0.21020248532295227,0.9883954586474097,0.41119611744038176,1430.0,116.0
117,1.2,8.0,0.08,3.0,0.012,55.0,1e-06,0.17215315997600555,0.21123865246772766,0.9880290785542047,0.41201709722458935,1433.0,117.0
118,1.2,8.0,0.08,3.0,0.012,65.0,1e-06,0.1708459109067917,0.2129903882741928,0.9876194293797769,0.4123713979967749,1433.0,118.0
119,1.2,8.0,0.08,3.0,0.01,45.0,1e-06,0.1726241260766983,0.20513522624969482,0.9898723691977646,0.41219453439437836,1433.0,119.0
120,1.2,8.0,0.08,3.0,0.01,55.0,1e-06,0.1731792539358139,0.2066272497177124,0.9894750449825825,0.41221899294675984,1432.0,120.0
121,1.2,8.0,0.08,3.0,0.01,65.0,1e-06,0.17132803797721863,0.20867031812667847,0.9889782140635177,0.4121883890294584,1437.0,121.0
122,1.2,8.0,0.08,3.0,0.008,45.0,1e-06,0.17276135087013245,0.19968166947364807,0.9914789746250552,0.4121489767557717,1424.0,122.0
123,1.2,8.0,0.08,3.0,0.008,55.0,1e-06,0.17216843366622925,0.20189407467842102,0.9908355073833197,0.41159802430614734,1430.0,123.0
124,1.2,8.0,0.08,3.0,0.008,65.0,1e-06,0.1723301112651825,0.2029818892478943,0.9906357695920888,0.4127443806783172,1436.0,124.0
125,1.2,10.0,0.12,1.0,0.012,45.0,1e-06,0.2164391428232193,0.21758536994457245,0.9851260341128899,0.4328761045269216,1444.0,125.0
126,1.2,10.0,0.12,1.0,0.012,55.0,1e-06,0.2156776338815689,0.21968550980091095,0.9846367441681156,0.43346823092150977,1445.0,126.0
127,1.2,10.0,0.12,1.0,0.012,65.0,1e-06,0.21918582916259766,0.2220584601163864,0.9839609384440501,0.43443481488522095,1445.0,127.0
128,1.2,10.0,0.12,1.0,0.01,45.0,1e-06,0.20976907014846802,0.21102312207221985,0.9866687384695695,0.43294685816170014,1443.0,128.0
129,1.2,10.0,0.12,1.0,0.01,55.0,1e-06,0.2120002955198288,0.21348212659358978,0.9861015547745933,0.4335826576163195,1445.0,129.0
130,1.2,10.0,0.12,1.0,0.01,65.0,1e-06,0.2128225564956665,0.214800626039505,0.9857231691054834,0.4339668248620161,1444.0,130.0
131,1.2,10.0,0.12,1.0,0.008,45.0,1e-06,0.20282723009586334,0.20496995747089386,0.9878094682726007,0.4330430126381478,1443.0,131.0
132,1.2,10.0,0.12,1.0,0.008,55.0,1e-06,0.20576031506061554,0.20706617832183838,0.9874421085397536,0.43317661287150777,1443.0,132.0
133,1.2,10.0,0.12,1.0,0.008,65.0,1e-06,0.2081616073846817,0.2094240039587021,0.986731745547174,0.434643429539704,1445.0,133.0
134,1.2,10.0,0.12,2.0,0.012,45.0,1e-06,0.19828051328659058,0.20116141438484192,0.9899992010748279,0.4297821181352177,1444.0,134.0
135,1.2,10.0,0.12,2.0,0.012,55.0,1e-06,0.20119509100914001,0.20259681344032288,0.9898203225384965,0.43020201043564904,1445.0,135.0
136,1.2,10.0,0.12,2.0,0.012,65.0,1e-06,0.2025233805179596,0.20281746983528137,0.9896956318082216,0.43035298156718277,1445.0,136.0
137,1.2,10.0,0.12,2.0,0.01,45.0,1e-06,0.19904035329818726,0.1982152760028839,0.9905968786317034,0.4293669782503245,1444.0,137.0
138,1.2,10.0,0.12,2.0,0.01,55.0,1e-06,0.1996726393699646,0.19980035722255707,0.9902727606369797,0.43070568454448915,1445.0,138.0
139,1.2,10.0,0.12,2.0,0.01,65.0,1e-06,0.19957296550273895,0.20145395398139954,0.9899888581412091,0.4325438860993484,1445.0,139.0
140,1.2,10.0,0.12,2.0,0.008,45.0,1e-06,0.1969229131937027,0.1945185512304306,0.9910346417189483,0.4303034499259279,1445.0,140.0
141,1.2,10.0,0.12,2.0,0.008,55.0,1e-06,0.19624415040016174,0.1960763782262802,0.9909704301440427,0.4314499292053961,1444.0,141.0
142,1.2,10.0,0.12,2.0,0.008,65.0,1e-06,0.1965337097644806,0.1982293426990509,0.9903671343663748,0.432298522162644,1445.0,142.0
143,1.2,10.0,0.12,3.0,0.012,45.0,1e-06,0.1802217662334442,0.21646057069301605,0.9864024161375006,0.4255820070270199,1443.0,143.0
144,1.2,10.0,0.12,3.0,0.012,55.0,1e-06,0.18041756749153137,0.21765819191932678,0.9861548374046751,0.42665851108459957,1445.0,144.0
145,1.2,10.0,0.12,3.0,0.012,65.0,1e-06,0.18076589703559875,0.22018446028232574,0.9853601488357832,0.428013359203954,1445.0,145.0
146,1.2,10.0,0.12,3.0,0.01,45.0,1e-06,0.18074437975883484,0.21259023249149323,0.9874046229774915,0.4267884240990076,1445.0,146.0
147,1.2,10.0,0.12,3.0,0.01,55.0,1e-06,0.18301400542259216,0.2142292559146881,0.9870436361194939,0.4283794181076865,1445.0,147.0
148,1.2,10.0,0.12,3.0,0.01,65.0,1e-06,0.18189163506031036,0.21660473942756653,0.9863240826097481,0.42926209735569043,1445.0,148.0
